				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	93.3099	93.4910	97.1930	
PARTITION (0,1)	94.7368	92.4302	96.4789	
PARTITION (1,0)	95.0704	92.8514	97.1930	
PARTITION (1,1)	94.7368	92.1182	96.8310	
PARTITION (2,0)	95.4225	93.1634	96.4912	
PARTITION (2,1)	95.7895	92.4302	98.2394	
PARTITION (3,0)	97.1831	92.8202	96.1404	
PARTITION (3,1)	94.7368	92.1806	98.2394	
PARTITION (4,0)	94.3662	92.9762	97.8947	
PARTITION (4,1)	95.7895	92.3990	96.8310	
MEAN			95.1142	92.6860	97.1532	
STDEV			0.9763	0.4239	0.7099	
