				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	94.0141	92.3990	97.1930	
PARTITION (0,1)	95.4386	91.6346	96.4789	
PARTITION (1,0)	94.0141	92.2118	97.1930	
PARTITION (1,1)	93.3333	91.6814	96.8310	
PARTITION (2,0)	94.7183	92.4770	96.8421	
PARTITION (2,1)	95.0877	91.9310	98.5916	
PARTITION (3,0)	96.1268	92.2118	96.1404	
PARTITION (3,1)	94.0351	91.6190	98.5916	
PARTITION (4,0)	94.7183	92.2742	98.2456	
PARTITION (4,1)	95.0877	91.7282	95.4225	
MEAN			94.6574	92.0168	97.1530	
STDEV			0.7819	0.3187	1.0005	
