				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	79.8077	23.1504	90.3846	
PARTITION (0,1)	79.8077	23.0724	91.3462	
PARTITION (1,0)	79.8077	23.1816	94.2308	
PARTITION (1,1)	83.6538	23.1192	88.4615	
PARTITION (2,0)	85.5769	23.1192	88.4615	
PARTITION (2,1)	75.9615	23.1660	91.3462	
PARTITION (3,0)	81.7308	23.1348	95.1923	
PARTITION (3,1)	89.4231	23.2128	89.4231	
PARTITION (4,0)	82.6923	23.1192	90.3846	
PARTITION (4,1)	81.7308	23.0724	96.1538	
MEAN			82.0192	23.1348	91.5385	
STDEV			3.4948	0.0428	2.6084	
