				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	84.7826	103.6310	88.6957	
PARTITION (0,1)	80.0000	103.7558	93.4783	
PARTITION (1,0)	82.1739	103.6778	92.1739	
PARTITION (1,1)	87.8261	103.9430	89.1304	
PARTITION (2,0)	85.6522	103.7714	92.6087	
PARTITION (2,1)	83.4783	103.5686	92.6087	
PARTITION (3,0)	79.5652	103.7090	91.3043	
PARTITION (3,1)	84.7826	103.8338	90.8696	
PARTITION (4,0)	83.9130	103.7714	92.1739	
PARTITION (4,1)	84.3478	103.6310	90.8696	
MEAN			83.6522	103.7293	91.3913	
STDEV			2.3829	0.1083	1.4654	
