SEED-358301   sonar    sonar    sonar    wdbc     wdbc     wdbc     spambase-460  spambase-460  spambase-460
ALGORITHMS    FITNESS  TIME     TRAIN    FITNESS  TIME     TRAIN    FITNESS       TIME          TRAIN
1NN           83.6538  0.0000   83.6538  95.5708  0.0062   95.5708  82.7826       0.0078        82.7826
RANDOM        82.9808  0.0000   82.8846  95.2195  0.0000   95.4311  82.5652       0.0000        83.3043
RELIEF        84.0385  0.0031   84.5192  95.1134  0.0109   95.2190  82.0000       0.0125        82.1304
RELIEF+LS     83.8462  3.3103   87.7885  95.2193  5.6909   96.9769  82.1739       16.6125       90.3478
RANDOM+LS     82.9808  2.9827   88.6538  95.2544  5.1652   97.1528  83.2609       19.0180       90.2174
AGG-BLX       84.6154  22.8197  91.7308  95.1488  93.0495  97.8206  83.8261       103.7807      89.7826
AGG-CA        83.6538  22.6122  89.9038  95.1845  92.6532  97.2934  83.6522       103.7293      91.3913
AGE-BLX       84.3269  22.4188  91.1538  95.3600  92.0573  97.8908  84.0435       103.4282      89.0870
AGE-CA        84.1346  22.3829  90.3846  95.1489  92.0464  97.3637  83.0870       103.3876      90.2174
AM-10-1.0     84.3269  23.1224  92.3077  95.1840  93.3131  98.0666  84.0435       110.6229      92.3913
AM-10-0.1     82.3077  22.7246  86.7308  95.6062  93.2211  96.5198  82.6956       104.5670      89.4783
AM-10-0.1mej  83.8462  22.8322  91.9231  95.4307  94.1898  98.1019  84.3478       106.2175      92.3043
