				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	92.9577	92.3834	96.4912	
PARTITION (0,1)	95.0877	91.6658	97.5352	
PARTITION (1,0)	94.3662	92.4146	98.5965	
PARTITION (1,1)	96.8421	91.7126	96.4789	
PARTITION (2,0)	95.7747	92.4458	97.1930	
PARTITION (2,1)	93.3333	91.5878	97.5352	
PARTITION (3,0)	94.7183	92.2274	97.5439	
PARTITION (3,1)	95.4386	91.7594	96.8310	
PARTITION (4,0)	96.4789	92.3834	97.1930	
PARTITION (4,1)	96.4912	91.8842	98.2394	
MEAN			95.1489	92.0464	97.3637	
STDEV			1.2570	0.3366	0.6540	
