				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	82.1739	103.2878	86.9565	
PARTITION (0,1)	82.1739	103.4594	90.0000	
PARTITION (1,0)	81.7391	103.5218	90.8696	
PARTITION (1,1)	86.9565	103.5530	86.9565	
PARTITION (2,0)	86.5217	103.4594	89.5652	
PARTITION (2,1)	86.9565	103.2410	90.4348	
PARTITION (3,0)	83.0435	103.3658	90.8696	
PARTITION (3,1)	84.3478	103.5062	86.5217	
PARTITION (4,0)	83.0435	103.4750	89.1304	
PARTITION (4,1)	83.4783	103.4126	89.5652	
MEAN			84.0435	103.4282	89.0870	
STDEV			1.9452	0.0938	1.5847	
