				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	83.6538	22.4172	87.5000	
PARTITION (0,1)	82.6923	22.3548	89.4231	
PARTITION (1,0)	79.8077	22.4172	90.3846	
PARTITION (1,1)	84.6154	22.4172	86.5385	
PARTITION (2,0)	86.5385	22.3548	87.5000	
PARTITION (2,1)	79.8077	22.4328	89.4231	
PARTITION (3,0)	83.6538	22.3704	93.2692	
PARTITION (3,1)	91.3462	22.4016	86.5385	
PARTITION (4,0)	83.6538	22.4172	89.4231	
PARTITION (4,1)	82.6923	22.4172	92.3077	
MEAN			83.8462	22.4001	89.2308	
STDEV			3.1542	0.0271	2.1843	
