				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	85.2174	103.3190	89.1304	
PARTITION (0,1)	78.6957	103.5530	90.4348	
PARTITION (1,0)	79.5652	103.3970	91.7391	
PARTITION (1,1)	83.4783	103.4438	88.6957	
PARTITION (2,0)	84.3478	103.4126	90.0000	
PARTITION (2,1)	87.3913	103.1474	92.6087	
PARTITION (3,0)	81.3043	103.5062	89.5652	
PARTITION (3,1)	86.5217	103.3346	87.3913	
PARTITION (4,0)	84.7826	103.3970	91.7391	
PARTITION (4,1)	79.5652	103.3658	90.8696	
MEAN			83.0870	103.3876	90.2174	
STDEV			2.9452	0.1083	1.5092	
