				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	79.8077	22.7820	89.4231	
PARTITION (0,1)	78.8462	22.7946	90.3846	
PARTITION (1,0)	83.6538	22.8102	89.4231	
PARTITION (1,1)	84.6154	22.8072	88.4615	
PARTITION (2,0)	76.9231	22.8258	93.2692	
PARTITION (2,1)	84.6154	22.8590	84.6154	
PARTITION (3,0)	79.8077	22.8902	89.4231	
PARTITION (3,1)	86.5385	22.7926	85.5769	
PARTITION (4,0)	85.5769	22.7141	94.2308	
PARTITION (4,1)	83.6538	22.9652	88.4615	
MEAN			82.4038	22.8241	89.3269	
STDEV			3.1023	0.0644	2.8020	
