				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	80.7692	22.7624	91.3462	
PARTITION (0,1)	80.7692	23.3212	88.4615	
PARTITION (1,0)	81.7308	24.9066	93.2692	
PARTITION (1,1)	81.7308	26.2495	90.3846	
PARTITION (2,0)	75.0000	25.2024	92.3077	
PARTITION (2,1)	86.5385	25.3314	86.5385	
PARTITION (3,0)	78.8462	25.2264	92.3077	
PARTITION (3,1)	84.6154	24.7114	88.4615	
PARTITION (4,0)	83.6538	24.7744	92.3077	
PARTITION (4,1)	88.4615	24.7434	93.2692	
MEAN			82.2115	24.7229	90.8654	
STDEV			3.6552	0.9502	2.2031	
