				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	94.3662	94.0108	96.8421	
PARTITION (0,1)	93.6842	93.9390	97.5352	
PARTITION (1,0)	94.0141	93.1418	97.5439	
PARTITION (1,1)	95.7895	93.6238	96.4789	
PARTITION (2,0)	95.7747	92.8634	95.4386	
PARTITION (2,1)	93.3333	93.0144	97.8873	
PARTITION (3,0)	92.9577	94.0718	98.2456	
PARTITION (3,1)	95.4386	92.6460	96.4789	
PARTITION (4,0)	96.8310	93.1082	97.8947	
PARTITION (4,1)	96.8421	92.5158	97.5352	
MEAN			94.9031	93.2935	97.1880	
STDEV			1.3463	0.5458	0.8173	
