				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	94.3662	94.9562	96.8421	
PARTITION (0,1)	94.7368	92.9112	97.1831	
PARTITION (1,0)	94.7183	93.3374	97.1930	
PARTITION (1,1)	96.8421	93.5230	96.1268	
PARTITION (2,0)	96.8310	93.5674	95.4386	
PARTITION (2,1)	93.3333	93.0048	97.8873	
PARTITION (3,0)	94.0141	94.5448	97.5439	
PARTITION (3,1)	95.0877	93.2468	96.4789	
PARTITION (4,0)	96.1268	92.9988	96.8421	
PARTITION (4,1)	95.0877	92.5116	97.8873	
MEAN			95.1144	93.4602	96.9423	
STDEV			1.1049	0.7153	0.7369	
