				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	83.6538	22.5122	90.3846	
PARTITION (0,1)	80.7692	22.6200	88.4615	
PARTITION (1,0)	81.7308	22.6480	91.3462	
PARTITION (1,1)	82.6923	22.5606	92.3077	
PARTITION (2,0)	78.8462	22.5278	93.2692	
PARTITION (2,1)	81.7308	22.5732	86.5385	
PARTITION (3,0)	80.7692	22.5726	91.3462	
PARTITION (3,1)	82.6923	22.6235	87.5000	
PARTITION (4,0)	80.7692	22.6070	94.2308	
PARTITION (4,1)	84.6154	22.5952	91.3462	
MEAN			81.8269	22.5840	90.6731	
STDEV			1.5771	0.0410	2.3570	
