				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	94.3662	101.8488	96.8421	
PARTITION (0,1)	94.7368	104.5590	97.1831	
PARTITION (1,0)	94.3662	105.3990	97.1930	
PARTITION (1,1)	96.4912	96.4537	96.1268	
PARTITION (2,0)	96.4789	101.4152	95.0877	
PARTITION (2,1)	93.3333	100.6422	97.8873	
PARTITION (3,0)	94.7183	106.6023	98.5965	
PARTITION (3,1)	95.7895	101.9832	95.7747	
PARTITION (4,0)	96.1268	102.5833	96.4912	
PARTITION (4,1)	94.7368	103.5142	97.5352	
MEAN			95.1144	102.5001	96.8718	
STDEV			0.9985	2.6904	0.9867	
