				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	82.1739	108.0933	92.6087	
PARTITION (0,1)	83.9130	111.1253	90.0000	
PARTITION (1,0)	82.6087	113.1763	91.3043	
PARTITION (1,1)	84.7826	111.2623	93.4783	
PARTITION (2,0)	82.1739	109.1503	88.2609	
PARTITION (2,1)	82.1739	113.4583	90.4348	
PARTITION (3,0)	81.7391	111.4803	92.6087	
PARTITION (3,1)	87.3913	114.5793	89.1304	
PARTITION (4,0)	79.1304	110.8043	93.9130	
PARTITION (4,1)	86.5217	112.8343	87.8261	
MEAN			83.2609	111.5964	90.9565	
STDEV			2.3189	1.8875	2.0559	
