				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	82.1739	105.3322	90.8696	
PARTITION (0,1)	86.5217	104.1584	89.1304	
PARTITION (1,0)	84.3478	104.2500	89.5652	
PARTITION (1,1)	84.7826	104.7828	89.1304	
PARTITION (2,0)	82.1739	103.7896	87.8261	
PARTITION (2,1)	84.7826	103.8790	88.2609	
PARTITION (3,0)	80.4348	105.1498	89.5652	
PARTITION (3,1)	81.3043	104.0164	87.3913	
PARTITION (4,0)	78.6957	104.1940	92.1739	
PARTITION (4,1)	86.5217	104.8852	86.0870	
MEAN			83.1739	104.4437	89.0000	
STDEV			2.4904	0.5192	1.6505	
