				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	82.1739	104.9594	93.0435	
PARTITION (0,1)	85.2174	104.1456	90.4348	
PARTITION (1,0)	81.3043	103.8700	91.7391	
PARTITION (1,1)	82.1739	104.8270	90.8696	
PARTITION (2,0)	81.3043	103.9168	89.5652	
PARTITION (2,1)	82.1739	103.9638	90.8696	
PARTITION (3,0)	80.4348	105.1722	92.6087	
PARTITION (3,1)	83.9130	104.2306	90.4348	
PARTITION (4,0)	81.3043	104.0182	91.7391	
PARTITION (4,1)	86.5217	106.1912	86.9565	
MEAN			82.6522	104.5295	90.8261	
STDEV			1.8492	0.7119	1.6319	
