				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	78.8462	2.4190	88.4615	
PARTITION (0,1)	85.5769	1.9978	82.6923	
PARTITION (1,0)	78.8462	1.9500	90.3846	
PARTITION (1,1)	87.5000	3.0099	88.4615	
PARTITION (2,0)	83.6538	3.0959	83.6538	
PARTITION (2,1)	80.7692	2.3615	87.5000	
PARTITION (3,0)	82.6923	3.1211	87.5000	
PARTITION (3,1)	84.6154	4.6811	86.5385	
PARTITION (4,0)	84.6154	2.5041	89.4231	
PARTITION (4,1)	79.8077	1.9081	80.7692	
MEAN			82.6923	2.7049	86.5385	
STDEV			2.8524	0.7918	2.9791	
