				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	77.8846	23.3974	93.2692	
PARTITION (0,1)	80.7692	23.5428	87.5000	
PARTITION (1,0)	86.5385	23.4117	93.2692	
PARTITION (1,1)	88.4615	23.7375	91.3462	
PARTITION (2,0)	85.5769	24.5245	87.5000	
PARTITION (2,1)	79.8077	25.2854	89.4231	
PARTITION (3,0)	82.6923	25.2902	92.3077	
PARTITION (3,1)	83.6538	25.5198	89.4231	
PARTITION (4,0)	79.8077	30.3834	92.3077	
PARTITION (4,1)	82.6923	29.5097	89.4231	
MEAN			82.7885	25.4602	90.5769	
STDEV			3.1729	2.3805	2.0979	
