				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	79.8077	24.5674	91.3462	
PARTITION (0,1)	82.6923	24.7824	86.5385	
PARTITION (1,0)	82.6923	25.2724	93.2692	
PARTITION (1,1)	90.3846	25.2184	90.3846	
PARTITION (2,0)	77.8846	24.8484	89.4231	
PARTITION (2,1)	85.5769	26.1145	86.5385	
PARTITION (3,0)	79.8077	25.9045	89.4231	
PARTITION (3,1)	80.7692	25.3535	87.5000	
PARTITION (4,0)	77.8846	27.8865	92.3077	
PARTITION (4,1)	83.6538	23.7407	87.5000	
MEAN			82.1154	25.3689	89.4231	
STDEV			3.6286	1.0546	2.2752	
