				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	78.8462	29.4017	92.3077	
PARTITION (0,1)	88.4615	28.5266	85.5769	
PARTITION (1,0)	85.5769	24.5649	91.3462	
PARTITION (1,1)	86.5385	23.4557	92.3077	
PARTITION (2,0)	80.7692	23.3984	86.5385	
PARTITION (2,1)	82.6923	22.9274	90.3846	
PARTITION (3,0)	84.6154	23.6616	88.4615	
PARTITION (3,1)	85.5769	23.3511	89.4231	
PARTITION (4,0)	79.8077	22.8932	93.2692	
PARTITION (4,1)	89.4231	23.1910	86.5385	
MEAN			84.2308	24.5372	89.6154	
STDEV			3.4186	2.2655	2.6085	
