				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	82.6923	24.0494	93.2692	
PARTITION (0,1)	86.5385	24.8904	87.5000	
PARTITION (1,0)	82.6923	24.6924	93.2692	
PARTITION (1,1)	85.5769	27.1176	91.3462	
PARTITION (2,0)	80.7692	24.4624	87.5000	
PARTITION (2,1)	83.6538	24.4824	90.3846	
PARTITION (3,0)	85.5769	24.3284	90.3846	
PARTITION (3,1)	86.5385	24.3394	89.4231	
PARTITION (4,0)	82.6923	24.7414	93.2692	
PARTITION (4,1)	87.5000	24.7964	89.4231	
MEAN			84.4231	24.7900	90.5769	
STDEV			2.0976	0.8128	2.0979	
