				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	83.0435	91.3043	105.8346	
PARTITION (0,1)	79.5652	93.0435	106.3295	
PARTITION (1,0)	80.4348	92.1739	105.7168	
PARTITION (1,1)	80.8696	91.7391	105.5620	
PARTITION (2,0)	83.4783	92.1739	105.3410	
PARTITION (2,1)	81.7391	91.3043	105.5578	
PARTITION (3,0)	80.8696	94.3478	105.5276	
PARTITION (3,1)	86.5217	91.3043	105.2222	
PARTITION (4,0)	85.6522	93.9130	105.2018	
PARTITION (4,1)	85.6522	93.9130	105.5318	
MEAN			82.7826	92.5217	105.5825	
STDEV			2.3512	1.1306	0.3141	
