				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	81.7391	93.9130	105.7366	
PARTITION (0,1)	86.0870	90.4348	105.6340	
PARTITION (1,0)	84.7826	89.1304	106.4269	
PARTITION (1,1)	80.8696	92.1739	105.3480	
PARTITION (2,0)	82.6087	92.6087	106.1726	
PARTITION (2,1)	83.0435	93.0435	105.6142	
PARTITION (3,0)	83.9130	90.4348	105.9371	
PARTITION (3,1)	80.8696	93.4783	105.6036	
PARTITION (4,0)	83.9130	93.9130	105.5990	
PARTITION (4,1)	87.3913	91.3043	105.3628	
MEAN			83.5217	92.0435	105.7435	
STDEV			2.0434	1.5684	0.3233	
