				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	95.0704	7.6294	97.8947	
PARTITION (0,1)	96.4912	4.2764	96.8310	
PARTITION (1,0)	94.7183	4.6920	95.4386	
PARTITION (1,1)	94.7368	3.9342	96.4789	
PARTITION (2,0)	94.0141	5.1022	97.1930	
PARTITION (2,1)	95.7895	3.9352	95.4225	
PARTITION (3,0)	93.6620	4.8204	97.1930	
PARTITION (3,1)	95.0877	3.8844	96.4789	
PARTITION (4,0)	96.8310	3.7928	97.5439	
PARTITION (4,1)	96.4912	5.4600	98.2394	
MEAN			95.2892	4.7527	96.8714	
STDEV			1.0251	1.1021	0.8965	
