				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	95.0704	94.6342	98.2456	
PARTITION (0,1)	94.7368	93.8814	98.2394	
PARTITION (1,0)	95.7747	94.5366	96.8421	
PARTITION (1,1)	95.4386	93.9234	97.8873	
PARTITION (2,0)	92.6056	94.6096	97.5439	
PARTITION (2,1)	94.3860	93.6438	96.1268	
PARTITION (3,0)	94.7183	94.6368	98.9474	
PARTITION (3,1)	94.7368	94.6462	97.8873	
PARTITION (4,0)	95.0704	94.5366	98.5965	
PARTITION (4,1)	96.4912	94.1632	98.5916	
MEAN			94.9029	94.3212	97.8908	
STDEV			0.9617	0.3631	0.8173	
