				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	84.3478	107.7080	86.5217	
PARTITION (0,1)	80.0000	106.4052	93.9130	
PARTITION (1,0)	85.6522	106.7400	87.3913	
PARTITION (1,1)	80.8696	106.2638	95.2174	
PARTITION (2,0)	83.4783	107.4846	88.6957	
PARTITION (2,1)	81.7391	106.6250	86.9565	
PARTITION (3,0)	78.2609	106.9280	86.0870	
PARTITION (3,1)	85.2174	106.5904	95.6522	
PARTITION (4,0)	82.6087	106.7326	87.8261	
PARTITION (4,1)	80.0000	106.4688	88.6957	
MEAN			82.2174	106.7946	89.6957	
STDEV			2.3370	0.4397	3.5378	
