				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	80.7692	25.5370	93.2692	
PARTITION (0,1)	83.6538	26.6468	87.5000	
PARTITION (1,0)	82.6923	26.5386	95.1923	
PARTITION (1,1)	87.5000	23.6599	92.3077	
PARTITION (2,0)	79.8077	22.9184	88.4615	
PARTITION (2,1)	78.8462	22.9038	93.2692	
PARTITION (3,0)	83.6538	22.7780	92.3077	
PARTITION (3,1)	81.7308	22.8726	89.4231	
PARTITION (4,0)	80.7692	22.8564	94.2308	
PARTITION (4,1)	84.6154	22.8318	91.3462	
MEAN			82.4038	23.9544	91.7308	
STDEV			2.4344	1.5400	2.4020	
