				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	85.2174	104.2414	87.3913	
PARTITION (0,1)	82.6087	103.6736	93.9130	
PARTITION (1,0)	85.6522	103.7602	90.0000	
PARTITION (1,1)	80.4348	103.8548	92.6087	
PARTITION (2,0)	83.4783	104.1416	91.7391	
PARTITION (2,1)	80.0000	103.9436	90.0000	
PARTITION (3,0)	82.6087	104.0838	92.6087	
PARTITION (3,1)	84.3478	103.6178	91.7391	
PARTITION (4,0)	83.9130	104.0818	92.6087	
PARTITION (4,1)	83.4783	103.9570	91.3043	
MEAN			83.1739	103.9355	91.3913	
STDEV			1.7506	0.1952	1.7586	
