SEED-77148642  sonar    sonar    sonar    wdbc     wdbc     wdbc     spambase-460  spambase-460  spambase-460
ALGORITHMS     FITNESS  TIME     TRAIN    FITNESS  TIME     TRAIN    FITNESS       TIME          TRAIN
1NN
RANDOM         83.2692  0.0000   80.9615  95.1137  0.0000   94.9733  81.9130       0.0000        81.7826
RELIEF         84.1346  0.0031   83.5577  95.4299  0.0125   95.3947  81.7391       0.0140        81.6957
RELIEF+LS      83.6538  2.5896   86.2500  95.4298  5.3537   96.9066  82.1739       16.8270       90.5652
RANDOM+LS      82.7885  2.4323   87.0192  95.0429  5.8762   97.0120  83.5652       16.6560       90.6957
AGG-BLX        82.6923  22.7148  90.5769  95.6060  92.9073  97.8206  83.2609       104.2616      89.1304
AGG-CA         82.6923  22.6737  89.7115  95.5355  92.8714  97.0824  84.3043       104.6941      90.5217
AGE-BLX        83.1731  22.6246  90.4808  95.6060  92.6467  97.8206  83.3478       103.9432      88.8696
AGE-CA         83.5577  22.5903  89.2308  95.4299  92.7037  97.1174  82.8261       103.9425      91.6522
AM-10-1.0      84.5192  23.0412  92.1154  95.0084  96.1269  98.0314  83.0435       109.8902      92.3478
AM-10-0.1      84.1346  23.0047  87.2115  95.1845  94.4465  97.4690  82.7391       105.3064      88.0435
AM-10-0.1mej   82.6923  22.9383  91.6346  94.9029  94.3212  97.8908  83.2609       105.6649      92.5652
