				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	82.1739	104.1138	87.3913	
PARTITION (0,1)	81.7391	104.1146	93.4783	
PARTITION (1,0)	84.7826	103.8918	86.5217	
PARTITION (1,1)	81.3043	104.1736	93.0435	
PARTITION (2,0)	82.6087	104.3388	91.3043	
PARTITION (2,1)	81.7391	104.2578	90.4348	
PARTITION (3,0)	82.1739	104.3952	90.8696	
PARTITION (3,1)	82.6087	104.1990	90.0000	
PARTITION (4,0)	85.2174	104.1220	91.3043	
PARTITION (4,1)	83.9130	104.4324	90.0000	
MEAN			82.8261	104.2039	90.4348	
STDEV			1.2786	0.1593	2.0668	
