				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	78.8462	22.6698	92.3077	
PARTITION (0,1)	87.5000	22.6670	86.5385	
PARTITION (1,0)	80.7692	22.5420	91.3462	
PARTITION (1,1)	88.4615	22.6396	91.3462	
PARTITION (2,0)	82.6923	22.6386	87.5000	
PARTITION (2,1)	83.6538	22.5802	86.5385	
PARTITION (3,0)	79.8077	22.5676	89.4231	
PARTITION (3,1)	87.5000	22.6486	87.5000	
PARTITION (4,0)	81.7308	22.5128	92.3077	
PARTITION (4,1)	84.6154	22.4366	87.5000	
MEAN			83.5577	22.5903	89.2308	
STDEV			3.2309	0.0729	2.2673	
