				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	77.8846	22.9808	93.2692	
PARTITION (0,1)	83.6538	23.2128	80.7692	
PARTITION (1,0)	78.8462	23.0130	84.6154	
PARTITION (1,1)	84.6154	23.1096	85.5769	
PARTITION (2,0)	78.8462	22.9208	87.5000	
PARTITION (2,1)	79.8077	23.0872	87.5000	
PARTITION (3,0)	84.6154	23.1660	90.3846	
PARTITION (3,1)	82.6923	23.4040	90.3846	
PARTITION (4,0)	80.7692	22.9652	86.5385	
PARTITION (4,1)	86.5385	23.2392	85.5769	
MEAN			81.8269	23.1099	87.2115	
STDEV			2.8346	0.1415	3.3323	
