				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	86.0870	105.3056	93.4783	
PARTITION (0,1)	79.5652	105.2750	92.6087	
PARTITION (1,0)	86.5217	105.3524	89.1304	
PARTITION (1,1)	81.7391	105.5950	93.0435	
PARTITION (2,0)	82.6087	105.8768	93.0435	
PARTITION (2,1)	83.9130	105.3352	94.7826	
PARTITION (3,0)	80.4348	105.5254	93.9130	
PARTITION (3,1)	84.7826	105.4490	90.8696	
PARTITION (4,0)	84.7826	105.6292	90.8696	
PARTITION (4,1)	83.4783	105.8838	89.5652	
MEAN			83.3913	105.5227	92.1304	
STDEV			2.1896	0.2142	1.8079	
