				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	96.4789	93.2484	98.2456	
PARTITION (0,1)	95.0877	92.5246	97.8873	
PARTITION (1,0)	94.7183	93.3670	96.8421	
PARTITION (1,1)	95.0877	92.4280	97.5352	
PARTITION (2,0)	93.3099	93.3948	97.8947	
PARTITION (2,1)	96.8421	92.2116	96.1268	
PARTITION (3,0)	93.3099	92.9714	98.5965	
PARTITION (3,1)	95.0877	92.2408	97.5352	
PARTITION (4,0)	95.4225	92.9670	98.5965	
PARTITION (4,1)	94.7368	92.5382	98.5916	
MEAN			95.0082	92.7891	97.7851	
STDEV			1.0789	0.4330	0.7725	
