				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	95.7747	95.0506	97.1930	
PARTITION (0,1)	94.7368	94.1396	98.2394	
PARTITION (1,0)	95.7747	94.9638	96.8421	
PARTITION (1,1)	95.0877	93.9498	96.4789	
PARTITION (2,0)	93.6620	94.6126	97.8947	
PARTITION (2,1)	95.0877	93.9956	95.4225	
PARTITION (3,0)	94.7183	94.6810	98.9474	
PARTITION (3,1)	94.3860	94.1416	97.8873	
PARTITION (4,0)	95.7747	94.8526	97.1930	
PARTITION (4,1)	96.8421	94.0786	98.5916	
MEAN			95.1845	94.4465	97.4690	
STDEV			0.8472	0.4062	1.0058	
