				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	96.8310	93.9846	98.5965	
PARTITION (0,1)	95.7895	93.3274	98.2394	
PARTITION (1,0)	95.0704	94.1108	97.5439	
PARTITION (1,1)	95.0877	93.0984	97.5352	
PARTITION (2,0)	93.3099	93.9458	97.8947	
PARTITION (2,1)	95.4386	92.9308	97.1831	
PARTITION (3,0)	94.7183	93.5106	98.5965	
PARTITION (3,1)	93.6842	93.2124	97.5352	
PARTITION (4,0)	95.4225	93.6640	98.9474	
PARTITION (4,1)	97.5439	93.3622	98.2394	
MEAN			95.2896	93.5147	98.0311	
STDEV			1.2107	0.3815	0.5502	
