				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	84.7826	108.9486	92.6087	
PARTITION (0,1)	80.8696	108.6862	94.3478	
PARTITION (1,0)	91.7391	108.6546	91.7391	
PARTITION (1,1)	80.4348	108.9830	95.2174	
PARTITION (2,0)	84.3478	112.5574	90.0000	
PARTITION (2,1)	83.9130	110.6408	92.1739	
PARTITION (3,0)	84.7826	110.9566	94.3478	
PARTITION (3,1)	83.4783	109.9050	93.4783	
PARTITION (4,0)	86.9565	109.3028	93.4783	
PARTITION (4,1)	85.6522	110.8742	92.6087	
MEAN			84.6957	109.9509	93.0000	
STDEV			3.0109	1.2159	1.4348	
