				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	78.8462	22.6376	92.3077	
PARTITION (0,1)	88.4615	22.4982	85.5769	
PARTITION (1,0)	85.5769	22.6376	91.3462	
PARTITION (1,1)	86.5385	22.6200	92.3077	
PARTITION (2,0)	80.7692	22.5002	86.5385	
PARTITION (2,1)	82.6923	22.5284	90.3846	
PARTITION (3,0)	84.6154	22.6084	88.4615	
PARTITION (3,1)	85.5769	22.6921	89.4231	
PARTITION (4,0)	79.8077	22.5022	93.2692	
PARTITION (4,1)	89.4231	22.5460	86.5385	
MEAN			84.2308	22.5771	89.6154	
STDEV			3.4186	0.0670	2.6085	
