				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	80.0000	103.8804	87.3913	
PARTITION (0,1)	80.4348	103.7132	90.0000	
PARTITION (1,0)	84.7826	103.6930	86.0870	
PARTITION (1,1)	82.1739	103.9892	92.1739	
PARTITION (2,0)	82.1739	104.2224	88.6957	
PARTITION (2,1)	80.8696	103.8206	89.1304	
PARTITION (3,0)	80.0000	103.9488	89.5652	
PARTITION (3,1)	84.3478	103.7832	87.8261	
PARTITION (4,0)	83.9130	103.7360	89.1304	
PARTITION (4,1)	83.9130	104.1128	89.1304	
MEAN			82.2609	103.8899	88.9130	
STDEV			1.7797	0.1740	1.5465	
