				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	82.6923	22.9496	92.3077	
PARTITION (0,1)	78.8462	22.7936	88.4615	
PARTITION (1,0)	83.6538	22.9329	94.2308	
PARTITION (1,1)	87.5000	22.9808	93.2692	
PARTITION (2,0)	82.6923	22.8536	91.3462	
PARTITION (2,1)	81.7308	22.9320	90.3846	
PARTITION (3,0)	84.6154	23.1066	92.3077	
PARTITION (3,1)	81.7308	23.0266	92.3077	
PARTITION (4,0)	79.8077	22.8872	92.3077	
PARTITION (4,1)	83.6538	22.9194	89.4231	
MEAN			82.6923	22.9383	91.6346	
STDEV			2.3158	0.0830	1.6680	
