				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	83.9130	104.1910	87.8261	
PARTITION (0,1)	80.8696	104.0918	90.0000	
PARTITION (1,0)	85.6522	104.1172	86.5217	
PARTITION (1,1)	83.9130	104.3150	91.3043	
PARTITION (2,0)	80.8696	104.4886	88.6957	
PARTITION (2,1)	84.3478	104.1118	89.1304	
PARTITION (3,0)	80.4348	104.4104	90.0000	
PARTITION (3,1)	85.6522	104.1754	88.2609	
PARTITION (4,0)	83.0435	104.2952	90.4348	
PARTITION (4,1)	83.9130	104.4200	89.1304	
MEAN			83.2609	104.2616	89.1304	
STDEV			1.8267	0.1432	1.3190	
