				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	95.7747	93.1884	97.8947	
PARTITION (0,1)	95.7895	92.7320	97.1831	
PARTITION (1,0)	95.4225	93.3802	96.1404	
PARTITION (1,1)	94.3860	92.6314	96.4789	
PARTITION (2,0)	93.6620	93.0576	96.8421	
PARTITION (2,1)	95.7895	92.4226	96.1268	
PARTITION (3,0)	94.7183	93.1938	96.8421	
PARTITION (3,1)	96.1404	92.3064	97.1831	
PARTITION (4,0)	96.4789	93.2192	98.2456	
PARTITION (4,1)	97.1930	92.5826	97.8873	
MEAN			95.5355	92.8714	97.0824	
STDEV			0.9847	0.3617	0.7050	
