				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	77.8846	22.5274	93.2692	
PARTITION (0,1)	80.7692	22.5626	87.5000	
PARTITION (1,0)	86.5385	22.6406	93.2692	
PARTITION (1,1)	88.4615	22.5782	91.3462	
PARTITION (2,0)	85.5769	22.6094	87.5000	
PARTITION (2,1)	79.8077	22.5986	89.4231	
PARTITION (3,0)	82.6923	22.5344	92.3077	
PARTITION (3,1)	83.6538	22.7216	89.4231	
PARTITION (4,0)	79.8077	22.5510	92.3077	
PARTITION (4,1)	82.6923	22.6652	89.4231	
MEAN			82.7885	22.5989	90.5769	
STDEV			3.1729	0.0590	2.0979	
