SEED-3141592      sonar    sonar       sonar     sonar    sonar
ALGORITHMS        FITNESS  CLASS_RATE  RED_RATE  TIME     TRAIN
1NN               43.7573  87.5145     0.0000    0.0011   42.6672
RELIEF            49.4419  86.5505     12.3333   0.0018   49.0727
RANDOM+LS         76.4181  87.5029     65.3333   3.4799   78.6998
AGG-BLX           73.0314  86.0627     60.0000   14.4428  75.9729
AM-10-0.1mej      75.4071  79.8142     71.0000   14.5837  82.2553
SA                80.5494  85.0987     76.0000   14.7547  84.1525
ILS               80.2456  80.8246     79.6667   14.8026  86.0468
DE-RAND           84.0023  79.3380     88.6667   14.5246  91.5085
DE-CURRENTTOBEST  72.0738  83.1475     61.0000   14.4992  75.0300
