				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	83.4783	90.4348	105.8392	
PARTITION (0,1)	80.0000	93.9130	107.0657	
PARTITION (1,0)	81.7391	92.6087	106.6963	
PARTITION (1,1)	88.6957	89.5652	106.6911	
PARTITION (2,0)	85.2174	94.3478	106.2361	
PARTITION (2,1)	81.3043	92.6087	106.3589	
PARTITION (3,0)	86.5217	92.6087	106.2910	
PARTITION (3,1)	81.7391	94.7826	106.6029	
PARTITION (4,0)	80.8696	91.7391	106.5981	
PARTITION (4,1)	80.8696	92.1739	106.5871	
MEAN			83.0435	92.4783	106.4966	
STDEV			2.7222	1.5566	0.3156	
