				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	96.1268	96.8421	96.8890	
PARTITION (0,1)	94.0351	97.5352	96.8601	
PARTITION (1,0)	94.3662	95.7895	96.5131	
PARTITION (1,1)	95.7895	97.5352	95.8955	
PARTITION (2,0)	94.3662	97.1930	96.3947	
PARTITION (2,1)	95.0877	96.8310	95.7851	
PARTITION (3,0)	96.8310	96.8421	96.8459	
PARTITION (3,1)	96.1404	98.2394	96.0782	
PARTITION (4,0)	96.4789	96.4912	96.6447	
PARTITION (4,1)	92.6316	99.2958	96.3420	
MEAN			95.1853	97.2594	96.4248	
STDEV			1.2547	0.9254	0.3802	
