				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	94.3662	97.5439	94.4118	
PARTITION (0,1)	95.7895	95.7747	93.4461	
PARTITION (1,0)	93.6620	98.5965	94.9748	
PARTITION (1,1)	97.5439	96.4789	93.6557	
PARTITION (2,0)	95.0704	96.8421	94.9370	
PARTITION (2,1)	94.7368	96.1268	94.4152	
PARTITION (3,0)	95.0704	97.1930	94.6326	
PARTITION (3,1)	95.0877	96.4789	94.7362	
PARTITION (4,0)	95.4225	96.4912	94.9488	
PARTITION (4,1)	95.0877	97.5352	94.6668	
MEAN			95.1837	96.9061	94.4825	
STDEV			0.9601	0.7856	0.5058	
