				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	85.5769	89.4231	22.9173	
PARTITION (0,1)	80.7692	92.3077	23.0669	
PARTITION (1,0)	80.7692	91.3462	22.9221	
PARTITION (1,1)	83.6538	94.2308	23.0735	
PARTITION (2,0)	82.6923	92.3077	23.0121	
PARTITION (2,1)	81.7308	90.3846	22.8931	
PARTITION (3,0)	83.6538	92.3077	23.0353	
PARTITION (3,1)	81.7308	88.4615	23.1415	
PARTITION (4,0)	77.8846	94.2308	22.7877	
PARTITION (4,1)	88.4615	89.4231	22.8991	
MEAN			82.6923	91.4423	22.9749	
STDEV			2.7535	1.8965	0.1022	
