				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	86.5385	89.4231	23.0939	
PARTITION (0,1)	78.8462	91.3462	23.2767	
PARTITION (1,0)	83.6538	91.3462	23.0951	
PARTITION (1,1)	84.6154	94.2308	23.1787	
PARTITION (2,0)	83.6538	92.3077	23.1255	
PARTITION (2,1)	85.5769	90.3846	23.2573	
PARTITION (3,0)	79.8077	87.5000	23.1249	
PARTITION (3,1)	75.0000	90.3846	23.3091	
PARTITION (4,0)	82.6923	92.3077	23.1453	
PARTITION (4,1)	82.6923	90.3846	23.1989	
MEAN			82.3077	90.9615	23.1806	
STDEV			3.3085	1.7312	0.0737	
