				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	84.3478	92.6087	106.6647	
PARTITION (0,1)	80.4348	88.6957	106.6655	
PARTITION (1,0)	81.7391	91.7391	105.8858	
PARTITION (1,1)	85.6522	89.5652	106.3565	
PARTITION (2,0)	83.4783	90.0000	106.1551	
PARTITION (2,1)	81.7391	90.8696	106.2561	
PARTITION (3,0)	83.4783	92.6087	106.8489	
PARTITION (3,1)	82.6087	93.0435	106.6235	
PARTITION (4,0)	85.6522	87.8261	107.1053	
PARTITION (4,1)	83.9130	90.4348	106.0676	
MEAN			83.3043	90.7391	106.4629	
STDEV			1.6176	1.6730	0.3644	
