				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	83.4783	91.3043	17.3346	
PARTITION (0,1)	80.4348	89.5652	17.3158	
PARTITION (1,0)	79.1304	92.6087	21.3706	
PARTITION (1,1)	85.6522	86.5217	13.3448	
PARTITION (2,0)	83.0435	92.6087	13.9594	
PARTITION (2,1)	83.4783	89.1304	22.1455	
PARTITION (3,0)	85.2174	94.7826	17.9556	
PARTITION (3,1)	82.1739	93.9130	25.9907	
PARTITION (4,0)	81.3043	89.1304	14.3014	
PARTITION (4,1)	82.1739	91.3043	16.5055	
MEAN			82.6087	91.0870	18.0224	
STDEV			1.9151	2.3912	3.8369	
