				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	87.3913	90.8696	106.5627	
PARTITION (0,1)	84.3478	93.4783	105.2312	
PARTITION (1,0)	84.7826	91.7391	106.1803	
PARTITION (1,1)	81.7391	94.3478	106.1405	
PARTITION (2,0)	83.0435	90.8696	106.2869	
PARTITION (2,1)	83.4783	93.4783	105.8948	
PARTITION (3,0)	83.9130	94.3478	106.3160	
PARTITION (3,1)	84.7826	91.7391	105.8140	
PARTITION (4,0)	83.0435	90.0000	106.3681	
PARTITION (4,1)	81.3043	93.4783	106.5869	
MEAN			83.7826	92.4348	106.1381	
STDEV			1.6391	1.4961	0.3853	
