				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	79.8077	91.3462	23.7322	
PARTITION (0,1)	83.6538	91.3462	23.6982	
PARTITION (1,0)	81.7308	93.2692	23.7774	
PARTITION (1,1)	80.7692	92.3077	23.5331	
PARTITION (2,0)	79.8077	94.2308	23.8846	
PARTITION (2,1)	84.6154	88.4615	24.6134	
PARTITION (3,0)	81.7308	88.4615	24.3822	
PARTITION (3,1)	81.7308	91.3462	24.2052	
PARTITION (4,0)	85.5769	91.3462	24.0102	
PARTITION (4,1)	83.6538	92.3077	24.2356	
MEAN			82.3077	91.4423	24.0072	
STDEV			1.8841	1.7441	0.3261	
