				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	80.0000	92.6087	106.3533	
PARTITION (0,1)	83.4783	92.1739	106.2369	
PARTITION (1,0)	81.7391	93.4783	106.5703	
PARTITION (1,1)	84.7826	89.5652	106.2147	
PARTITION (2,0)	84.3478	90.8696	105.4670	
PARTITION (2,1)	85.2174	90.4348	106.7689	
PARTITION (3,0)	82.1739	92.1739	106.5711	
PARTITION (3,1)	83.9130	93.9130	106.2811	
PARTITION (4,0)	82.6087	91.3043	106.9851	
PARTITION (4,1)	83.9130	92.1739	106.5271	
MEAN			83.2174	91.8696	106.3975	
STDEV			1.5086	1.2755	0.3878	
