				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	96.4789	96.8421	96.9781	
PARTITION (0,1)	96.1404	98.2394	96.1891	
PARTITION (1,0)	96.1268	96.1404	97.3370	
PARTITION (1,1)	94.0351	97.8873	96.2035	
PARTITION (2,0)	95.4225	97.1930	96.8767	
PARTITION (2,1)	95.0877	96.4789	96.6843	
PARTITION (3,0)	95.0704	96.4912	96.2081	
PARTITION (3,1)	95.0877	97.5352	97.1359	
PARTITION (4,0)	97.1831	95.4386	97.5386	
PARTITION (4,1)	92.9825	98.9437	97.3241	
MEAN			95.3615	97.1190	96.8475	
STDEV			1.1584	1.0010	0.4821	
