				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	94.7183	98.5965	96.5915	
PARTITION (0,1)	95.7895	96.1268	95.9763	
PARTITION (1,0)	93.3099	98.5965	97.0415	
PARTITION (1,1)	97.5439	97.1831	95.4544	
PARTITION (2,0)	94.3662	96.8421	97.0629	
PARTITION (2,1)	96.1404	96.8310	95.9411	
PARTITION (3,0)	94.7183	97.5439	96.7017	
PARTITION (3,1)	94.3860	97.1831	96.7177	
PARTITION (4,0)	96.1268	96.8421	97.1191	
PARTITION (4,1)	94.7368	97.1831	96.0401	
MEAN			95.1836	97.2928	96.4646	
STDEV			1.1482	0.7402	0.5449	
