				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	86.0870	93.0435	106.7313	
PARTITION (0,1)	84.7826	94.7826	106.1992	
PARTITION (1,0)	88.6957	93.4783	106.1845	
PARTITION (1,1)	85.2174	94.3478	106.3359	
PARTITION (2,0)	81.7391	90.0000	106.7799	
PARTITION (2,1)	79.5652	89.5652	106.4801	
PARTITION (3,0)	81.7391	91.3043	106.7549	
PARTITION (3,1)	80.4348	90.4348	106.3792	
PARTITION (4,0)	83.4783	90.0000	106.4550	
PARTITION (4,1)	83.4783	94.3478	106.8079	
MEAN			83.5217	92.1304	106.5108	
STDEV			2.6335	1.9683	0.2275	
