				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	81.7308	85.5769	22.9897	
PARTITION (0,1)	78.8462	88.4615	23.0411	
PARTITION (1,0)	85.5769	91.3462	22.9851	
PARTITION (1,1)	87.5000	88.4615	22.8053	
PARTITION (2,0)	78.8462	91.3462	22.8935	
PARTITION (2,1)	85.5769	90.3846	22.8461	
PARTITION (3,0)	83.6538	86.5385	22.8217	
PARTITION (3,1)	81.7308	88.4615	23.0887	
PARTITION (4,0)	81.7308	91.3462	22.8921	
PARTITION (4,1)	85.5769	88.4615	23.0849	
MEAN			83.0769	89.0385	22.9448	
STDEV			2.8264	1.9325	0.1019	
