SEED-360653   sonar    sonar    sonar    wdbc     wdbc     wdbc      spambase-460  spambase-460  spambase-460
ALGORITHMS    FITNESS  TRAIN    TIME     FITNESS  TRAIN    TIME      FITNESS       TRAIN         TIME
1NN           82.5962  82.5962  0.0014   95.2211  95.2211  0.0063    83.2609       83.2609       0.0070
RANDOM        83.6538  84.4231  0.0000   94.6588  95.1155  0.0000    83.0000       83.3478       0.0000
RELIEF        82.8846  86.2500  0.0030   95.1512  95.1859  0.0123    84.4348       86.3478       0.0129
RELIEF+LS     83.6538  90.9615  2.5366   94.8703  97.0136  5.6856    84.3478       92.4348       13.5322
RANDOM+LS     83.5577  87.5000  2.2692   94.7298  97.0486  5.6906    82.6087       91.0870       18.0224
AGG-BLX       82.4038  91.6346  22.9624  95.0105  97.6112  94.5708   83.8261       93.0435       106.3787
AGG-CA        82.3077  90.9615  23.1806  94.9749  97.0138  94.5861   83.4783       91.6522       106.0563
AGE-BLX       83.0769  92.0192  22.9792  95.4322  97.5056  94.7192   83.5652       92.6087       106.0718
AGE-CA        83.0769  89.0385  22.9448  95.3615  97.1190  96.8475   83.3043       90.7391       106.4629
AM-10-1.0     82.3077  91.4423  24.0072  95.1863  97.4705  101.0486  83.9130       92.8261       113.9684
AM-10-0.1     83.5577  90.8654  23.2967  95.2911  97.1890  96.0039   83.0435       92.4783       106.4966
AM-10-0.1mej  82.5000  90.2885  23.3267  95.1853  97.2594  96.4248   83.2174       91.8696       106.3975
