				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	94.0141	98.5965	100.0685	
PARTITION (0,1)	95.0877	96.1268	99.1485	
PARTITION (1,0)	93.3099	98.2456	100.2221	
PARTITION (1,1)	96.8421	97.8873	99.3660	
PARTITION (2,0)	94.3662	96.8421	100.6180	
PARTITION (2,1)	93.6842	96.4789	99.8301	
PARTITION (3,0)	94.7183	97.5439	100.5067	
PARTITION (3,1)	95.0877	97.1831	100.1375	
PARTITION (4,0)	94.7183	97.5439	101.4016	
PARTITION (4,1)	95.0877	97.5352	100.0209	
MEAN			94.6916	97.3983	100.1320	
STDEV			0.9265	0.7248	0.6043	
