				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	86.5217	91.7391	106.3549	
PARTITION (0,1)	84.7826	93.9130	105.8908	
PARTITION (1,0)	83.4783	91.7391	105.8864	
PARTITION (1,1)	84.3478	94.3478	105.9220	
PARTITION (2,0)	83.9130	91.3043	106.2667	
PARTITION (2,1)	82.6087	90.8696	106.4238	
PARTITION (3,0)	78.6957	92.1739	106.7203	
PARTITION (3,1)	83.9130	90.8696	106.2737	
PARTITION (4,0)	81.7391	88.6957	106.2505	
PARTITION (4,1)	82.6087	92.6087	106.1576	
MEAN			83.2609	91.8261	106.2147	
STDEV			1.9757	1.5284	0.2500	
