				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	88.6957	93.0435	112.9334	
PARTITION (0,1)	83.9130	94.7826	112.7690	
PARTITION (1,0)	83.9130	92.1739	112.7384	
PARTITION (1,1)	85.2174	92.1739	112.8988	
PARTITION (2,0)	86.5217	90.8696	112.8226	
PARTITION (2,1)	82.6087	91.7391	112.5286	
PARTITION (3,0)	82.1739	93.4783	112.8997	
PARTITION (3,1)	81.7391	90.0000	112.9226	
PARTITION (4,0)	87.3913	90.4348	112.9306	
PARTITION (4,1)	82.6087	92.6087	113.2976	
MEAN			84.4783	92.1304	112.8741	
STDEV			2.2682	1.3810	0.1875	
